Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
266.44,9.475e-15,,9.475e-15,2.084e-54
266.46,4.297e-15,,4.297e-15,2.077e-54
266.49,1.205e-15,,1.205e-15,2.068e-54
266.51,4.882e-16,,4.882e-16,2.062e-54
266.54,1.156e-16,,1.156e-16,2.053e-54
266.56,4.182e-17,,4.182e-17,2.046e-54
266.59,8.381e-18,,8.381e-18,2.037e-54
266.61,2.780e-18,,2.780e-18,2.031e-54
266.64,9.647e-19,,9.647e-19,2.022e-54
266.66,1.801e-18,,1.801e-18,2.015e-54
266.69,9.137e-18,,9.137e-18,2.006e-54
266.71,2.674e-17,,2.674e-17,2.000e-54
266.74,1.234e-16,,1.234e-16,1.991e-54
266.76,3.236e-16,,3.236e-16,1.984e-54
266.78,8.112e-16,,8.112e-16,1.978e-54
266.81,2.960e-15,,2.960e-15,1.969e-54
266.83,6.632e-15,,6.632e-15,1.963e-54
266.86,2.045e-14,,2.045e-14,1.953e-54
266.88,4.098e-14,,4.098e-14,1.947e-54
266.91,1.068e-13,,1.068e-13,1.938e-54
266.93,1.913e-13,,1.913e-13,1.932e-54
266.96,4.216e-13,,4.216e-13,1.922e-54
266.98,6.750e-13,,6.750e-13,1.916e-54
267.01,1.257e-12,,1.257e-12,1.907e-54
267.03,1.799e-12,,1.799e-12,1.901e-54
267.06,2.833e-12,,2.833e-12,1.891e-54
267.08,3.625e-12,,3.625e-12,1.885e-54
267.11,4.824e-12,,4.824e-12,1.876e-54
267.13,5.519e-12,,5.519e-12,1.870e-54
267.16,6.208e-12,,6.208e-12,1.860e-54
267.18,6.349e-12,,6.349e-12,1.854e-54
267.2,6.208e-12,,6.208e-12,1.848e-54
267.23,5.519e-12,,5.519e-12,1.839e-54
267.25,4.824e-12,,4.824e-12,1.832e-54
267.28,3.625e-12,,3.625e-12,1.823e-54
267.3,2.833e-12,,2.833e-12,1.817e-54
267.33,1.799e-12,,1.799e-12,1.808e-54
267.35,1.257e-12,,1.257e-12,1.801e-54
267.38,6.750e-13,,6.750e-13,1.792e-54
267.4,4.218e-13,,4.218e-13,1.786e-54
267.43,1.921e-13,,1.921e-13,1.777e-54
267.45,1.086e-13,,1.086e-13,1.770e-54
267.48,4.659e-14,,4.659e-14,1.761e-54
267.5,3.192e-14,,3.192e-14,1.755e-54
267.53,3.740e-14,,3.740e-14,1.746e-54
267.55,5.914e-14,,5.914e-14,1.739e-54
267.58,1.284e-13,,1.284e-13,1.730e-54
267.6,2.087e-13,,2.087e-13,1.724e-54
267.62,3.256e-13,,3.256e-13,1.718e-54
267.65,5.847e-13,,5.847e-13,1.708e-54
267.67,8.170e-13,,8.170e-13,1.702e-54
267.7,1.241e-12,,1.241e-12,1.693e-54
267.72,1.552e-12,,1.552e-12,1.687e-54
267.75,1.994e-12,,1.994e-12,1.677e-54
267.77,2.230e-12,,2.230e-12,1.671e-54
267.8,2.424e-12,,2.424e-12,1.662e-54
267.82,2.424e-12,,2.424e-12,1.656e-54
