wl,A,E,g,,,,,,,,,,,
413.071,2.49E+07,28 725.148 ,4.5,,,,,,,,,,,
413.11, ,26 841.384 ,4.5,,,,,,,,,,,
413.38, ,31 151.534 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
413.544,2.12E+07,28 685.758 ,2.5,,,,,,,,,,, 
413.747,2.11E+07,29 281.374 ,2.5,,,,,,,,,,,
413.765,8.20E+07,28 327.071 ,5.5,,,,,,,,,,,
413.81, ,31 613.833 ,0.5,,,,,,,,,,,
413.835, ,35 026.944 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
414.24,5.43E+07,29 750.547 ,5.5,,,,,,,,,,, 
414.449,1.79E+07,27 975.619 ,4.5,,,,,,,,,,,
414.5,4.91E+07,29 735.413 ,4.5,,,,,,,,,,,
414.623,2.46E+07,28 634.516 ,5.5,,,,,,,,,,,
414.89, ,32 885.367 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
414.979,8.20E+06,29 807.078 ,3.5,,,,,,,,,,, 
414.994,3.40E+07,29 908.904 ,4.5,,,,,,,,,,,
415.091, ,32 616.019 ,4.5,,,,,,,,,,,
415.197,7.50E+07,29 591.873 ,6.5,,,,,,,,,,,
415.313,7.60E+06,25 945.396 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
415.903, ,32 318.175 ,3.5,,,,,,,,,,, 
416.352, ,35 026.944 ,4.5,,,,,,,,,,,
416.561,9.00E+07,31 340.393 ,6.5,,,,,,,,,,,
416.688, ,34 861.526 ,5.5,,,,,,,,,,,
416.78, ,33 040.353 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
416.977,1.36E+07,29 794.517 ,3.5,,,,,,,,,,, 
416.988,2.12E+07,28 297.473 ,3.5,,,,,,,,,,,
417.67, ,32 989.218 ,3.5,,,,,,,,,,,
418.108, ,29 029.353 ,1.5,,,,,,,,,,,
418.533,1.64E+07,27 249.669 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
418.66, ,30 846.582 ,7.5,,,,,,,,,,, 
418.732,1.42E+07,28 334.756 ,4.5,,,,,,,,,,,
419.309, ,31 075.603 ,4.5,,,,,,,,,,,
419.309,6.60E+06,29 807.078 ,3.5,,,,,,,,,,,
419.328,4.17E+07,32 372.621 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
419.387,1.56E+07,28 297.473 ,3.5,,,,,,,,,,, 
419.634,2.16E+07,27 187.047 ,3.5,,,,,,,,,,,
419.8, ,28 725.148 ,4.5,,,,,,,,,,,
419.867, ,31 151.534 ,5.5,,,,,,,,,,,
419.867, ,31 151.534 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
419.872,1.80E+07,27 975.619 ,4.5,,,,,,,,,,, 
420.124, ,31 089.731 ,5.5,,,,,,,,,,,
420.132, ,32 197.982 ,4.5,,,,,,,,,,,
420.294,2.20E+07,28 297.473 ,3.5,,,,,,,,,,,
420.294,1.08E+07,27 379.949 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
420.941,7.80E+06,29 263.338 ,5.5,,,,,,,,,,, 
421.404,1.11E+07,28 634.516 ,5.5,,,,,,,,,,,
421.759, ,32 235.239 ,3.5,,,,,,,,,,,
422.26,2.67E+07,24 663.053 ,4.5,,,,,,,,,,,
422.775,2.50E+07,29 263.338 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
423.174, ,33 659.968 ,5.5,,,,,,,,,,, 
423.421,1.43E+07,27 812.398 ,2.5,,,,,,,,,,,
423.602,1.50E+07,28 337.814 ,2.5,,,,,,,,,,,
423.992,3.68E+07,27 432.782 ,4.5,,,,,,,,,,,
424.272,1.19E+07,25 945.396 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
424.589, ,29 364.740 ,3.5,,,,,,,,,,, 
424.598,1.54E+07,27 811.496 ,3.5,,,,,,,,,,,
424.672,2.56E+07,25 681.488 ,1.5,,,,,,,,,,,
424.868,4.03E+07,29 043.854 ,6.5,,,,,,,,,,,
425.337,1.74E+07,27 249.669 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
425.579,2.70E+07,29 166.597 ,4.5,,,,,,,,,,, 
426.343, ,31 851.397 ,2.5,,,,,,,,,,,
427.019,1.96E+07,27 934.638 ,4.5,,,,,,,,,,,
427.072, ,31 130.983 ,3.5,,,,,,,,,,,
