Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
204.61,1.587e+1,,,,8.974e-20,1.432e-4,1.587e+1,,
204.63,4.082e+1,,,,5.457e-18,9.043e-5,4.082e+1,,
204.65,8.842e+1,,,,2.796e-16,5.295e-5,8.842e+1,,
204.66,1.220e+2,,,,1.877e-15,3.975e-5,1.220e+2,,
204.68,2.043e+2,,,,7.441e-14,2.276e-5,2.043e+2,,
204.69,2.478e+2,,,,4.393e-13,1.787e-5,2.478e+2,,
204.71,3.207e+2,,,,1.347e-11,1.225e-5,3.207e+2,,
204.73,3.494e+2,,,,3.481e-10,9.124e-6,3.494e+2,,
204.74,3.420e+2,,,,1.660e-9,7.833e-6,3.420e+2,,
204.76,2.880e+2,,,,3.317e-8,5.548e-6,2.880e+2,,
204.78,2.043e+2,,,,5.588e-7,4.318e-6,2.043e+2,,
204.79,1.613e+2,,,,2.151e-6,4.612e-6,1.613e+2,,
204.81,8.842e+1,,,,2.803e-5,8.922e-6,8.842e+1,,
204.83,4.082e+1,,,,3.078e-4,2.248e-5,4.082e+1,,
204.84,2.600e+1,,,,9.565e-4,3.486e-5,2.600e+1,,
204.86,9.286e+0,,,,8.125e-3,7.496e-5,9.278e+0,,
204.88,2.846e+0,,,,5.816e-2,1.365e-4,2.788e+0,,
204.89,1.579e+0,,,,1.459e-1,1.727e-4,1.433e+0,,
204.91,1.141e+0,,,,8.081e-1,2.434e-4,3.327e-1,,
204.93,3.836e+0,,,,3.771e+0,2.889e-4,6.509e-2,,
204.94,7.667e+0,,,,7.639e+0,2.951e-4,2.704e-2,,
204.96,2.758e+1,,,,2.758e+1,2.709e-4,4.638e-3,,
204.98,8.389e+1,,,,8.389e+1,2.095e-4,4.872e-3,,
204.99,1.372e+2,,,,1.372e+2,1.727e-4,1.156e-2,,
205.01,3.230e+2,,,,3.229e+2,1.033e-4,6.860e-2,,
205.03,6.406e+2,,,,6.403e+2,5.203e-5,3.480e-1,,
205.04,8.463e+2,,7.044e-21,,8.456e+2,3.463e-5,7.354e-1,,
205.06,1.300e+3,,5.431e-19,,1.297e+3,1.349e-5,2.888e+0,,
205.08,1.686e+3,,3.531e-17,,1.677e+3,4.426e-6,9.557e+0,,
205.09,1.804e+3,,2.671e-16,,1.788e+3,2.378e-6,1.631e+1,,
205.11,1.830e+3,,1.345e-14,,1.788e+3,6.033e-7,4.176e+1,,
205.12,1.739e+3,,8.953e-14,,1.677e+3,2.850e-7,6.268e+1,,
205.14,1.421e+3,,3.491e-12,,1.297e+3,5.592e-8,1.242e+2,,
205.16,1.053e+3,,1.148e-10,,8.456e+2,9.243e-9,2.075e+2,,
205.17,8.917e+2,,6.177e-10,,6.403e+2,3.525e-9,2.515e+2,,
205.19,6.479e+2,,1.573e-8,,3.229e+2,4.602e-10,3.250e+2,,
205.21,4.912e+2,,3.379e-7,,1.372e+2,1.307e-10,3.540e+2,,
205.22,4.304e+2,,1.469e-6,,8.389e+1,2.389e-10,3.465e+2,,
205.24,3.196e+2,,2.444e-5,,2.758e+1,1.464e-9,2.920e+2,,
205.26,2.151e+2,,3.429e-4,,7.639e+0,8.052e-9,2.075e+2,,
205.27,1.678e+2,,1.205e-3,,3.771e+0,1.772e-8,1.640e+2,,
205.29,9.097e+1,,1.309e-2,,8.122e-1,7.554e-8,9.015e+1,,
205.31,4.206e+1,,1.199e-1,,1.749e-1,2.715e-7,4.176e+1,,
205.32,2.714e+1,,3.406e-1,,1.306e-1,4.829e-7,2.666e+1,,
205.34,1.240e+1,,2.417e+0,,4.064e-1,1.344e-6,9.582e+0,,
205.36,1.933e+1,,1.446e+1,,1.848e+0,3.156e-6,3.022e+0,,
205.37,3.871e+1,,3.319e+1,,3.731e+0,4.538e-6,1.785e+0,,
205.39,1.688e+2,,1.538e+2,,1.340e+1,8.279e-6,1.610e+0,,
205.41,6.464e+2,,6.012e+2,,4.056e+1,1.287e-5,4.597e+0,,
205.42,1.189e+3,,1.115e+3,,6.621e+1,1.521e-5,8.077e+0,,
205.44,3.553e+3,,3.375e+3,,1.553e+2,1.979e-5,2.238e+1,,
