Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
210.19,7.427e+2,,7.427e+2
210.22,9.483e+2,,9.483e+2
210.24,1.019e+3,,1.019e+3
210.27,9.922e+2,,9.922e+2
210.29,8.901e+2,,8.901e+2
210.32,6.603e+2,,6.603e+2
210.34,4.943e+2,,4.943e+2
210.37,2.795e+2,,2.795e+2
210.39,1.746e+2,,1.746e+2
210.41,1.015e+2,,1.015e+2
210.44,3.923e+1,,3.923e+1
210.46,1.902e+1,,1.902e+1
210.49,5.607e+0,,5.607e+0
210.51,2.269e+0,,2.269e+0
210.54,5.097e-1,,5.097e-1
210.56,1.721e-1,,1.721e-1
210.59,2.947e-2,,2.947e-2
210.61,8.303e-3,,8.303e-3
210.64,1.084e-3,,1.084e-3
210.66,2.548e-4,,2.548e-4
210.69,2.536e-5,,2.536e-5
210.71,4.975e-6,,4.975e-6
210.74,3.774e-7,,3.774e-7
210.76,6.178e-8,,6.178e-8
210.79,3.581e-9,,3.581e-9
210.81,5.603e-10,,5.603e-10
210.83,6.389e-10,,6.389e-10
210.86,1.137e-8,,1.137e-8
210.88,7.580e-8,,7.580e-8
210.91,1.142e-6,,1.142e-6
210.93,6.366e-6,,6.366e-6
210.96,7.330e-5,,7.330e-5
210.98,3.417e-4,,3.417e-4
211.01,3.008e-3,,3.008e-3
211.03,1.173e-2,,1.173e-2
211.06,7.891e-2,,7.891e-2
211.08,2.572e-1,,2.572e-1
211.11,1.323e+0,,1.323e+0
211.13,3.606e+0,,3.606e+0
211.16,1.418e+1,,1.418e+1
211.18,3.231e+1,,3.231e+1
211.2,6.853e+1,,6.853e+1
211.23,1.851e+2,,1.851e+2
211.25,3.282e+2,,3.282e+2
211.28,6.777e+2,,6.777e+2
211.3,1.005e+3,,1.005e+3
211.33,1.586e+3,,1.586e+3
211.35,1.966e+3,,1.966e+3
211.38,2.373e+3,,2.373e+3
211.4,2.459e+3,,2.459e+3
211.43,2.269e+3,,2.269e+3
211.45,1.966e+3,,1.966e+3
211.48,1.387e+3,,1.387e+3
211.5,1.005e+3,,1.005e+3
211.53,5.418e+2,,5.418e+2
211.55,3.282e+2,,3.282e+2
211.57,1.851e+2,,1.851e+2
211.6,6.854e+1,,6.854e+1
211.62,3.234e+1,,3.234e+1
211.65,9.318e+0,,9.318e+0
211.67,4.100e+0,,4.100e+0
211.7,2.929e+0,,2.929e+0
211.72,5.523e+0,,5.523e+0
211.75,1.788e+1,,1.788e+1
211.77,3.706e+1,,3.706e+1
211.8,9.782e+1,,9.782e+1
211.82,1.719e+2,,1.719e+2
211.85,3.530e+2,,3.530e+2
211.87,5.241e+2,,5.241e+2
211.9,8.350e+2,,8.350e+2
211.92,1.046e+3,,1.046e+3
211.95,1.290e+3,,1.290e+3
211.97,1.360e+3,,1.360e+3
211.99,1.339e+3,,1.339e+3
212.02,1.149e+3,,1.149e+3
212.04,9.505e+2,,9.505e+2
212.07,6.277e+2,,6.277e+2
212.09,4.361e+2,,4.361e+2
212.12,2.214e+2,,2.214e+2
212.14,1.290e+2,,1.290e+2
212.17,5.030e+1,,5.030e+1
212.19,2.457e+1,,2.457e+1
212.22,7.350e+0,,7.350e+0
212.24,3.009e+0,,3.009e+0
212.27,6.902e-1,,6.902e-1
212.29,2.367e-1,,2.367e-1
212.32,4.161e-2,,4.161e-2
212.34,1.195e-2,,1.195e-2
212.36,3.196e-3,,3.196e-3
212.39,3.869e-4,,3.869e-4
212.41,8.665e-5,,8.665e-5
212.44,8.036e-6,,8.036e-6
212.46,1.507e-6,,1.507e-6
212.49,1.070e-7,,1.070e-7
212.51,1.679e-8,,1.679e-8
