Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti II ,229.656, 3: , ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,
Ti I ,229.9858,14,6.90E+07,43 467.537  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,230.10679,5, ,83 519.365  , 7/2 ,,,,,,,,,,,,,,
Ti II ,230.25287,15, ,74 908.058  , 9/2 ,,,,,,,,,,,,,,
Ti I ,230.2736,14,5.70E+07,43 583.355  ,3,,,,,,,,,,,,,,
Ti I ,230.5674,15,5.20E+07,43 744.793  ,4,,,,,,,,,,,,,,
Ti II ,230.723, 1: , ,52 847.1337 , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,230.779, 0: , ,83 245.315  , 5/2 ,,,,,,,,,,,,,,
Ti I ,230.8898,7, ,43 467.537  ,2,,,,,,,,,,,,,,
Ti II ,231.221, 1:* , ,83 661.0179 , 5/2 ,,,,,,,,,,,,,,
Ti II ,231.221, 1:* , ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti I ,231.4292,6, ,43 583.355  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,231.479, 3: , ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,
Ti II ,231.878, 0: , ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti II ,231.97, 1: , ,52 459.395  , 3/2 ,,,,,,,,,,,,,,
Ti II ,232.074, 2: , ,52 471.895  , 5/2 ,,,,,,,,,,,,,,
Ti II ,232.143, 1: , ,52 459.395  , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,232.50623,7, ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,
Ti II ,232.618, 3: , ,52 339.242  , 1/2 ,,,,,,,,,,,,,,
Ti II ,232.667, 0: , ,52 329.889  , 3/2 ,,,,,,,,,,,,,,
Ti III ,232.7019,10, ,81 024.47   ,2,,,,,,,,,,,,,,
Ti II ,232.735, 2: , ,52 471.895  , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,232.792, 0: , ,52 339.242  , 1/2 ,,,,,,,,,,,,,,
Ti II ,232.841, 1: , ,52 329.889  , 3/2 ,,,,,,,,,,,,,,
Ti I ,232.8798,0, ,42 927.337  ,2,,,,,,,,,,,,,,
Ti II ,232.898, 3: , ,59 440.190  , 1/2 ,,,,,,,,,,,,,,
Ti III ,233.1352,15,4.30E+08,80 944.87   ,0,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti III ,233.166,15,1.20E+08,80 939.19   ,1,,,,,,,,,,,,,,
Ti II ,233.182, 2: , ,59 387.976  , 3/2 ,,,,,,,,,,,,,,
Ti II ,233.366, 2: , ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,
Ti III ,233.434,15,7.70E+07,81 024.47   ,2,,,,,,,,,,,,,,
Ti II ,233.451415,46, ,52 847.1337 , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,233.492, 2: , ,59 440.190  , 1/2 ,,,,,,,,,,,,,,
Ti II ,233.74747,18, ,73 975.618  , 5/2 ,,,,,,,,,,,,,,
Ti II ,233.778, 2: , ,59 387.976  , 3/2 ,,,,,,,,,,,,,,
Ti III ,233.9,17,3.00E+08,80 939.19   ,1,,,,,,,,,,,,,,
Ti II ,233.971, 1: , ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,234.11972,32, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti II ,234.227594,61, ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,
Ti II ,234.367, 1: , ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti XIX ,234.46,  ,1.04E+03,347 260      ,2,,,,,,,,,,,,,,
Ti II ,234.61205,6, ,77 359.019  , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,234.624, 0: , ,52 459.395  , 3/2 ,,,,,,,,,,,,,,
Ti II ,234.63638,12, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti III ,234.6786,18,3.30E+08,81 024.47   ,2,,,,,,,,,,,,,,
